RepRapFirmware height map file v2 generated at 2024-05-12 10:55, min error -0.533, max error 0.411, mean 0.012, deviation 0.248
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,0.00,325.00,32.00,380.00,-1.00,30.00,30.00,11,12
  0.169,  0.210,  0.245,  0.282,  0.318,  0.342,  0.363,  0.372,  0.402,  0.411,  0.408
  0.181,  0.222,  0.256,  0.289,  0.309,  0.332,  0.351,  0.355,  0.362,  0.353,  0.341
  0.165,  0.204,  0.229,  0.280,  0.305,  0.321,  0.321,  0.319,  0.305,  0.287,  0.266
  0.142,  0.171,  0.192,  0.211,  0.226,  0.240,  0.245,  0.234,  0.231,  0.211,  0.183
  0.098,  0.119,  0.183,  0.197,  0.201,  0.197,  0.187,  0.165,  0.139,  0.114,  0.095
  0.043,  0.063,  0.088,  0.114,  0.116,  0.114,  0.100,  0.079,  0.054,  0.022, -0.010
 -0.013,  0.045,  0.050,  0.054,  0.052,  0.035,  0.012, -0.010, -0.040, -0.075, -0.121
 -0.077, -0.029, -0.020, -0.026, -0.033, -0.047, -0.070, -0.098, -0.128, -0.162, -0.211
 -0.096, -0.080, -0.086, -0.100, -0.107, -0.123, -0.144, -0.174, -0.213, -0.247, -0.291
 -0.160, -0.155, -0.160, -0.171, -0.187, -0.201, -0.222, -0.245, -0.280, -0.317, -0.369
 -0.229, -0.231, -0.241, -0.256, -0.275, -0.300, -0.323, -0.344, -0.369, -0.413, -0.450
 -0.328, -0.348, -0.367, -0.390, -0.404, -0.422, -0.436, -0.452, -0.470, -0.496, -0.533
